68.183.75.242,68.183.75,1
45.155.165.2,45.155.165,256
51.77.23.159,51.77.23,128
54.203.128.111,54.203.128,1
51.83.202.5,51.83.202,250
52.48.126.28,52.48.126,1
45.155.165.42,45.155.165,256
3.122.106.129,3.122.106,1
45.134.159.53,45.134.159,256
47.56.159.154,47.56.159,1
99.79.134.243,99.79.134,3
95.216.121.245,95.216.121,32
34.67.90.237,34.67.90,1
63.33.170.71,63.33.170,1
51.161.65.192,51.161.65,192
74.208.40.173,74.208.40,3
3.134.183.132,3.134.183,1
46.161.12.119,46.161.12,168
51.83.232.138,51.83.232,128
147.135.43.94,147.135.43,62
51.195.23.184,51.195.23,256
45.155.164.173,45.155.164,256
51.83.211.83,51.83.211,251
157.230.139.160,157.230.139,2
51.195.23.110,51.195.23,256
51.77.195.134,51.77.195,1
51.161.50.30,51.161.50,160
51.83.202.220,51.83.202,250
168.235.98.65,168.235.98,4
3.231.237.242,3.231.237,1
51.161.60.107,51.161.60,224
116.203.178.8,116.203.178,2
198.50.165.119,198.50.165,128
95.216.220.207,95.216.220,4
51.161.58.86,51.161.58,247
51.83.210.111,51.83.210,128
164.132.112.151,164.132.112,32
51.83.181.192,51.83.181,234
47.57.89.56,47.57.89,1
95.216.166.193,95.216.166,2
45.143.152.128,45.143.152,256
51.161.28.237,51.161.28,192
198.50.187.187,198.50.187,16
51.161.121.254,51.161.121,192
51.83.160.70,51.83.160,250
3.14.66.59,3.14.66,1
159.65.44.76,159.65.44,1
45.155.167.128,45.155.167,256
66.70.236.232,66.70.236,64
34.233.141.41,34.233.141,1
51.89.48.132,51.89.48,127
202.97.251.225,202.97.251,9
3.134.2.75,3.134.2,1
95.216.189.142,95.216.189,1
193.176.190.216,193.176.190,256
51.195.23.93,51.195.23,256
51.89.28.106,51.89.28,128
95.217.93.52,95.217.93,64
35.170.82.73,35.170.82,1
44.228.58.224,44.228.58,1
45.143.153.150,45.143.153,256
47.56.242.8,47.56.242,1
44.227.126.118,44.227.126,1
3.86.133.166,3.86.133,1
44.224.144.229,44.224.144,2
185.232.16.127,185.232.16,256
45.155.167.162,45.155.167,256
3.230.33.239,3.230.33,1
18.210.44.175,18.210.44,1
185.232.18.78,185.232.18,256
95.217.183.44,95.217.183,2
51.77.75.250,51.77.75,128
51.161.28.246,51.161.28,192
45.155.167.138,45.155.167,256
51.83.246.215,51.83.246,256
54.71.23.199,54.71.23,1
51.83.181.104,51.83.181,234
159.89.113.234,159.89.113,5
51.195.23.111,51.195.23,256
185.20.104.240,185.20.104,1
54.214.78.214,54.214.78,1
46.161.12.126,46.161.12,168
99.79.139.209,99.79.139,4
167.71.71.7,167.71.71,1
154.201.2.191,154.201.2,13
147.135.43.83,147.135.43,62
51.161.50.48,51.161.50,160
51.83.160.49,51.83.160,250
44.226.125.238,44.226.125,1
159.69.153.249,159.69.153,8
185.232.18.11,185.232.18,256
45.155.165.208,45.155.165,256
51.89.127.237,51.89.127,64
45.134.158.253,45.134.158,256
198.50.165.88,198.50.165,128
205.185.123.64,205.185.123,1
51.77.75.247,51.77.75,128
51.89.49.95,51.89.49,128
46.161.12.252,46.161.12,168
51.89.49.37,51.89.49,128
45.143.154.94,45.143.154,256
159.69.30.109,159.69.30,2
106.12.123.211,106.12.123,1
51.77.75.192,51.77.75,128
99.79.108.9,99.79.108,4
52.60.73.76,52.60.73,3
45.134.158.223,45.134.158,256
199.247.14.190,199.247.14,2
45.143.154.144,45.143.154,256
45.134.157.100,45.134.157,256
198.50.165.74,198.50.165,128
51.89.61.58,51.89.61,32
106.13.223.24,106.13.223,14
3.132.91.15,3.132.91,1
54.70.127.77,54.70.127,1
193.176.190.233,193.176.190,256
193.176.190.156,193.176.190,256
51.195.71.59,51.195.71,256
51.89.222.157,51.89.222,53
144.217.137.216,144.217.137,64
37.59.50.14,37.59.50,1
51.89.47.148,51.89.47,128
45.143.152.147,45.143.152,256
51.161.28.244,51.161.28,192
217.160.60.108,217.160.60,5
15.222.49.250,15.222.49,8
193.176.153.20,193.176.153,256
45.155.165.200,45.155.165,256
51.83.211.120,51.83.211,251
158.69.33.61,158.69.33,128
51.81.237.155,51.81.237,125
185.66.89.68,185.66.89,256
51.195.71.236,51.195.71,256
52.0.50.19,52.0.50,1
44.226.71.65,44.226.71,1
51.83.210.63,51.83.210,128
51.161.28.93,51.161.28,192
51.161.58.239,51.161.58,247
51.89.210.132,51.89.210,128
45.143.153.241,45.143.153,256
46.161.12.149,46.161.12,168
51.195.71.147,51.195.71,256
45.142.183.99,45.142.183,58
45.134.159.195,45.134.159,256
52.89.229.251,52.89.229,1
51.89.123.8,51.89.123,192
51.83.232.134,51.83.232,128
45.155.165.230,45.155.165,256
66.70.231.210,66.70.231,32
158.69.33.26,158.69.33,128
51.161.65.75,51.161.65,192
51.161.58.152,51.161.58,247
149.202.3.199,149.202.3,13
66.70.236.238,66.70.236,64
51.161.50.74,51.161.50,160
51.83.160.5,51.83.160,250
51.89.47.49,51.89.47,128
18.225.0.221,18.225.0,2
51.89.210.172,51.89.210,128
194.120.116.134,194.120.116,256
116.203.146.242,116.203.146,8
